eventid,attacktype_id
197000000001,1.0
197000000002,6.0
197001000001,1.0
197001000002,3.0
197001000003,7.0
197001010002,2.0
197001020001,1.0
197001020002,3.0
197001020003,7.0
197001030001,7.0
197001050001,3.0
197001060001,7.0
197001080001,4.0
197001090001,7.0
197001090002,7.0
197001100001,3.0
197001110001,9.0
197001120001,3.0
197001120002,3.0
197001130001,7.0
197001140001,7.0
197001150001,2.0
197001190002,3.0
197001190003,3.0
197001190004,7.0
197001200001,1.0
197001210001,3.0
197001220001,6.0
197001220002,3.0
197001250001,7.0
197001250002,2.0
197001260001,3.0
197001260003,2.0
197001270002,7.0
197001280001,7.0
197001280002,3.0
197001300001,3.0
197001300002,3.0
197001300003,7.0
197001310001,9.0
197001310002,3.0
197002010001,7.0
197002010002,2.0
197002020001,7.0
197002030001,7.0
197002030002,7.0
197002040001,3.0
197002060001,3.0
197002060002,3.0
197002060003,3.0
197002060004,7.0
197002060005,7.0
197002060006,7.0
197002060007,7.0
197002070003,7.0
197002080001,3.0
197002080002,3.0
197002090003,3.0
197002090004,3.0
197002100001,2.0
197002110001,7.0
197002130001,3.0
197002130002,7.0
197002130003,3.0
197002150001,3.0
197002150002,7.0
197002160001,3.0
197002160002,3.0
197002160003,3.0
197002160004,2.0
197002170001,3.0
197002170002,3.0
197002170003,3.0
197002170004,3.0
197002180002,3.0
197002180003,3.0
197002200001,7.0
197002200002,7.0
197002200003,3.0
197002210001,3.0
197002210002,3.0
197002210003,7.0
197002210004,7.0
197002210005,3.0
197002210006,7.0
197002220001,7.0
197002220002,3.0
197002230001,3.0
197002230002,3.0
197002230003,3.0
197002230004,3.0
197002230005,3.0
197002240002,3.0
197002240003,7.0
197002270001,3.0
197002280001,2.0
197003000001,3.0
197003010001,3.0
197003010005,3.0
197003010006,7.0
197003010007,7.0
197003010008,3.0
197003020001,7.0
197003030001,6.0
197003030002,3.0
197003030003,3.0
197003040001,3.0
197003040002,3.0
197003040003,3.0
197003050001,3.0
197003050002,3.0
197003050003,1.0
197003060001,6.0
197003060003,3.0
197003060004,3.0
197003090001,7.0
197003090003,7.0
197003090004,7.0
197003090005,3.0
197003090006,3.0
197003100001,3.0
197003100002,3.0
197003100003,7.0
197003110001,6.0
197003110002,7.0
197003120001,3.0
197003120002,3.0
197003120003,3.0
197003120004,3.0
197003120005,3.0
197003130001,7.0
197003130002,7.0
197003140001,6.0
197003140002,3.0
197003140003,3.0
197003140004,4.0
197003150001,3.0
197003150002,3.0
197003160001,7.0
197003170002,3.0
197003180001,3.0
197003200001,3.0
197003200002,1.0
197003210001,3.0
197003210002,7.0
197003210003,7.0
197003220001,3.0
197003220002,3.0
197003220003,3.0
197003230001,3.0
197003240001,9.0
197003240002,6.0
197003240003,6.0
197003240004,3.0
197003240005,3.0
197003240006,3.0
197003270001,3.0
197003290001,6.0
197003290002,3.0
197003300001,7.0
197003300002,7.0
197003310001,6.0
197003310002,4.0
197003310003,3.0
197003310004,3.0
197004000001,6.0
197004010001,3.0
197004010002,7.0
197004010003,7.0
197004020001,9.0
197004020002,3.0
197004030001,2.0
197004040001,3.0
197004040002,3.0
197004040003,7.0
197004050001,6.0
197004050003,2.0
197004050004,3.0
197004050005,7.0
197004050006,3.0
197004050007,7.0
197004080001,3.0
197004080002,3.0
197004080003,7.0
197004090001,3.0
197004110001,3.0
197004110002,7.0
197004110003,7.0
197004130001,3.0
197004130002,3.0
197004130003,3.0
