eventid,targettype_id
197000000001,14.0
197000000002,7.0
197001000001,10.0
197001000002,7.0
197001000003,7.0
197001010002,3.0
197001020001,3.0
197001020002,21.0
197001020003,4.0
197001030001,2.0
197001050001,4.0
197001060001,4.0
197001080001,6.0
197001090001,2.0
197001090002,1.0
197001100001,2.0
197001110001,4.0
197001120001,8.0
197001120002,1.0
197001130001,1.0
197001140001,3.0
197001150001,8.0
197001190002,8.0
197001190003,4.0
197001190004,22.0
197001200001,7.0
197001210001,7.0
197001220001,1.0
197001220002,14.0
197001250001,14.0
197001250002,3.0
197001260001,2.0
197001260003,3.0
197001270002,2.0
197001280001,3.0
197001280002,15.0
197001300001,20.0
197001300002,1.0
197001300003,4.0
197001310001,4.0
197001310002,3.0
197002010001,2.0
197002010002,3.0
197002020001,1.0
197002030001,1.0
197002030002,1.0
197002040001,14.0
197002060001,19.0
197002060002,2.0
197002060003,15.0
197002060004,2.0
197002060005,21.0
197002060006,1.0
197002060007,4.0
197002070003,8.0
197002080001,1.0
197002080002,1.0
197002090003,1.0
197002090004,14.0
197002100001,6.0
197002110001,8.0
197002130001,3.0
197002130002,14.0
197002130003,3.0
197002150001,1.0
197002150002,4.0
197002160001,3.0
197002160002,1.0
197002160003,1.0
197002160004,3.0
197002170001,1.0
197002170002,21.0
197002170003,8.0
197002170004,4.0
197002180002,3.0
197002180003,3.0
197002200001,2.0
197002200002,8.0
197002200003,8.0
197002210001,6.0
197002210002,6.0
197002210003,3.0
197002210004,4.0
197002210005,14.0
197002210006,14.0
197002220001,8.0
197002220002,21.0
197002230001,21.0
197002230002,21.0
197002230003,21.0
197002230004,21.0
197002230005,4.0
197002240002,14.0
197002240003,4.0
197002270001,8.0
197002280001,18.0
197003000001,7.0
197003010001,6.0
197003010005,4.0
197003010006,4.0
197003010007,3.0
197003010008,3.0
197003020001,14.0
197003030001,2.0
197003030002,14.0
197003030003,2.0
197003040001,4.0
197003040002,19.0
197003040003,14.0
197003050001,2.0
197003050002,14.0
197003050003,4.0
197003060001,7.0
197003060003,3.0
197003060004,3.0
197003090001,8.0
197003090003,14.0
197003090004,15.0
197003090005,4.0
197003090006,20.0
197003100001,2.0
197003100002,2.0
197003100003,1.0
197003110001,7.0
197003110002,4.0
197003120001,1.0
197003120002,1.0
197003120003,3.0
197003120004,3.0
197003120005,1.0
197003130001,4.0
197003130002,8.0
197003140001,10.0
197003140002,6.0
197003140003,4.0
197003140004,4.0
197003150001,1.0
197003150002,3.0
197003160001,2.0
197003170002,8.0
197003180001,21.0
197003200001,4.0
197003200002,14.0
197003210001,2.0
197003210002,1.0
197003210003,1.0
197003220001,1.0
197003220002,1.0
197003220003,1.0
197003230001,14.0
197003240001,4.0
197003240002,4.0
197003240003,7.0
197003240004,1.0
197003240005,14.0
197003240006,3.0
197003270001,3.0
197003290001,7.0
197003290002,7.0
197003300001,2.0
197003300002,4.0
197003310001,7.0
197003310002,6.0
197003310003,2.0
197003310004,8.0
197004000001,7.0
197004010001,8.0
197004010002,8.0
197004010003,4.0
197004020001,4.0
197004020002,1.0
197004030001,1.0
197004040001,1.0
197004040002,14.0
197004040003,8.0
197004050001,7.0
197004050003,4.0
197004050004,21.0
197004050005,1.0
197004050006,12.0
197004050007,8.0
197004080001,1.0
197004080002,14.0
197004080003,8.0
197004090001,1.0
197004110001,4.0
197004110002,8.0
197004110003,1.0
197004130001,21.0
197004130002,8.0
197004130003,15.0
197004130004,3.0
197004140002,1.0
197004140003,8.0
197004140004,1.0
197004150001,7.0
197004150002,14.0
197004150004,8.0
197004150005,8.0
197004160001,1.0
197004160002,14.0
197004160003,14.0
197004160004,1.0
197004170001,3.0
197004190001,15.0
197004190002,1.0
197004190003,1.0
197004190004,2.0
197004190005,3.0
197004200001,8.0
197004210001,6.0
197004210002,1.0
197004220001,1.0
197004220002,8.0
197004220003,8.0
197004220004,2.0
197004220005,3.0
197004220006,8.0
197004230001,4.0
197004230002,16.0
197004230003,16.0
197004230004,3.0
197004240001,8.0
197004240002,3.0
197004240003,4.0
197004240004,7.0
197004250001,6.0
197004250003,8.0
197004250004,1.0
197004250005,1.0
197004250006,1.0
197004260001,2.0
197004260002,9.0
197004260003,2.0
197004270001,1.0
197004270002,8.0
197004270003,8.0
197004270004,8.0
197004270005,14.0
197004270006,14.0
197004280001,1.0
197004280002,2.0
197004290001,3.0
197004300001,1.0
197005000001,15.0
197005000002,1.0
197005010002,4.0
197005010003,4.0
197005010004,8.0
197005010005,1.0
197005010006,1.0
197005010007,1.0
197005010008,1.0
